Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Bowling Avg,Economy Rate,Bowling Strike Rate,Ratings
MDKJ Perera,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
TWM Latham,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
CR Ervine,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
EC Joyce,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
JM Bairstow,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
HM Amla,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Najmul Hossain Shanto,0,0,0,0,0.0,0.0,0.0,1.0
Hazratullah Zazai,0,0,0,0,0.0,0.0,0.0,1.0
FA Allen,4,138,131,0,0.0,5.69,0.0,1.0
S Kaul,3,162,179,0,0.0,6.62,0.0,1.0
Fazle Mahmud,1,18,16,0,0.0,5.33,0.0,1.0
NGRP Jayasuriya,2,96,95,0,0.0,5.93,0.0,1.0
Abul Hasan,7,216,244,0,0.0,6.77,0.0,1.0
MS Chapman,0,0,0,0,0.0,0.0,0.0,1.0
C Jonker,0,0,0,0,0.0,0.0,0.0,1.0
TL Seifert,0,0,0,0,0.0,0.0,0.0,1.0
TS Kamunhukamwe,0,0,0,0,0.0,0.0,0.0,1.0
